cpu_usage,memory_usage,label,anomaly_type,packets_count,flow_bytes_per_second,flow_packets_per_second,container_cpu_usage_seconds_rate,container_memory_usage_bytes,anomaly_type_encoded,timestamp,server_name,data_center
,,1,security_attack,9.0,1977151.476839237,8571.465940054495,0.1368871531524926,86448128.0,0,2024-01-01 00:00:00,server-06,dc-amsterdam-01
,,0,security_attack,1.0,0.0,0.0,0.1272052711451345,62343168.0,0,2024-01-01 00:02:00,server-07,dc-frankfurt-01
,,1,security_attack,3.0,0.0,115439.55963302751,0.0475436946902669,57106432.0,0,2024-01-01 00:04:00,server-05,dc-amsterdam-01
,,0,security_attack,18.0,1347.976255999319,4.463497536421586,0.0515669352580288,46336000.0,0,2024-01-01 00:06:00,server-05,dc-frankfurt-01
,,1,security_attack,9.0,79606.87962671039,1190.1360741534777,0.1326984518884334,62138368.0,0,2024-01-01 00:08:00,server-08,dc-paris-01
,,1,security_attack,9.0,1524687.139436857,6364.649468892261,0.3165147324072279,89153536.0,0,2024-01-01 00:10:00,server-05,dc-paris-01
,,1,security_attack,2.0,1098508.1904761903,199728.7619047619,0.0283599713483723,121888768.0,0,2024-01-01 00:12:00,server-07,dc-frankfurt-01
,,1,security_attack,9.0,1996113.0097263064,8538.506220312147,0.4070672740012984,88313856.0,0,2024-01-01 00:14:00,server-05,dc-london-01
,,1,security_attack,9.0,1884140.188633616,7607.56469165659,0.3875146962768932,86761472.0,0,2024-01-01 00:16:00,server-09,dc-paris-01
,,1,security_attack,9.0,121761.6341804504,1820.3566571828133,0.1064800396743333,61974528.0,0,2024-01-01 00:18:00,server-10,dc-paris-01
,,0,security_attack,1.0,0.0,0.0,0.1048300628298567,59727872.0,0,2024-01-01 00:20:00,server-08,dc-london-01
,,1,security_attack,2.0,0.0,1.9950541084718965,0.0496403022670021,50044928.0,0,2024-01-01 00:22:00,server-03,dc-paris-01
,,1,security_attack,2.0,0.0,322638.76923076925,0.1272052711451345,62343168.0,0,2024-01-01 00:24:00,server-07,dc-frankfurt-01
,,1,security_attack,9.0,239515.3678618857,3342.0749003984065,0.0887126491028039,60362752.0,0,2024-01-01 00:26:00,server-01,dc-frankfurt-01
,,0,security_attack,1.0,0.0,0.0,0.1297018489984562,60583936.0,0,2024-01-01 00:28:00,server-04,dc-frankfurt-01
,,0,security_attack,1.0,0.0,0.0,0.0978420634920567,61091840.0,0,2024-01-01 00:30:00,server-04,dc-london-01
,,0,security_attack,1.0,0.0,0.0,0.109212289139833,60526592.0,0,2024-01-01 00:32:00,server-05,dc-london-01
,,1,security_attack,9.0,2002934.1257944333,8272.788954635109,0.3154055948648305,88465408.0,0,2024-01-01 00:34:00,server-02,dc-london-01
,,1,security_attack,9.0,75325.05020733272,1126.122013066436,0.1024286000054232,61741056.0,0,2024-01-01 00:36:00,server-07,dc-london-01
,,0,security_attack,20.0,1491.191779859419,5.358216959609842,0.0284799306815504,126388224.0,0,2024-01-01 00:38:00,server-09,dc-paris-01
,,0,security_attack,1.0,0.0,0.0,0.1018568738229808,59678720.0,0,2024-01-01 00:40:00,server-07,dc-london-01
,,0,security_attack,1.0,0.0,0.0,0.1147777777777832,60334080.0,0,2024-01-01 00:42:00,server-04,dc-paris-01
,,1,security_attack,9.0,1867438.1855670104,8107.546391752578,0.3930358500814624,89210880.0,0,2024-01-01 00:44:00,server-10,dc-amsterdam-01
,,1,security_attack,9.0,2194432.913470116,8418.540588760035,0.3875146962768932,86761472.0,0,2024-01-01 00:46:00,server-02,dc-paris-01
,,0,security_attack,1.0,0.0,0.0,0.0962937456078648,60706816.0,0,2024-01-01 00:48:00,server-04,dc-london-01
,,0,security_attack,18.0,1524.9740125021904,5.02830778989548,0.0610846580217366,58281984.0,0,2024-01-01 00:50:00,server-10,dc-paris-01
,,1,security_attack,9.0,1871569.148523389,8137.257167492994,0.0148619195044302,88109056.0,0,2024-01-01 00:52:00,server-04,dc-frankfurt-01
,,0,security_attack,1.0,0.0,0.0,0.0864615999999955,59576320.0,0,2024-01-01 00:54:00,server-02,dc-paris-01
,,1,security_attack,2.0,678490.3529411765,123361.88235294116,0.020181294042281,121778176.0,0,2024-01-01 00:56:00,server-06,dc-frankfurt-01
,,1,security_attack,9.0,290126.5090198782,4337.439503619442,0.1048300628298567,59727872.0,0,2024-01-01 00:58:00,server-05,dc-london-01
,,1,security_attack,5.0,316.682504871395,3.205288510844079,0.0549670938690682,127746048.0,0,2024-01-01 01:00:00,server-03,dc-frankfurt-01
,,0,security_attack,1.0,0.0,0.0,0.1207118644067779,62246912.0,0,2024-01-01 01:02:00,server-10,dc-paris-01
,,1,security_attack,9.0,969278.6978886756,14490.87754318618,0.1024679934447677,62224384.0,0,2024-01-01 01:04:00,server-09,dc-amsterdam-01
,,1,security_attack,9.0,1743661.2252836304,7647.6369529983795,0.124058429527793,88178688.0,0,2024-01-01 01:06:00,server-06,dc-london-01
,,1,security_attack,2.0,688617.0746268657,125203.10447761194,0.0209837160322822,114460672.0,0,2024-01-01 01:08:00,server-03,dc-london-01
,,0,security_attack,1.0,0.0,0.0,0.1163397312859817,61935616.0,0,2024-01-01 01:10:00,server-07,dc-london-01
,,1,security_attack,5.0,3848172.116504855,101803.49514563108,0.0283599713483723,121888768.0,0,2024-01-01 01:12:00,server-01,dc-paris-01
,,1,security_attack,2.0,0.0,1.9518840086018143,0.0251740341106854,116875264.0,0,2024-01-01 01:14:00,server-01,dc-amsterdam-01
,,1,security_attack,9.0,80912.99775684164,1209.6627571620843,0.0887126491028039,60362752.0,0,2024-01-01 01:16:00,server-05,dc-amsterdam-01
